% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 13 2026, 15:12
% Dimension:          3
% Nodes:              114
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ SL=0.18          es.Ex (V/m) @ SL=0.18    es.Ey (V/m) @ SL=0.18    es.Ez (V/m) @ SL=0.18    es.normE (V/m) @ SL=0.18
-7.62                     -7.62                    73.15000000000002        0.13232045965506947      -1.8536979322004186      -1.9450008758255593      -29.67100242537549       29.79240858603823
-7.62                     -7.62                    73.40000000000003        0.13969391602221665      -1.9293104163701287      -1.9903997468732655      -29.336029775521464      29.466702781705138
-7.62                     -7.62                    68.40000000000003        -0.009321306527507407    -0.04616131833435691     -0.9273908607598488      -26.89760156885638       26.913623963206376
-7.62                     -7.62                    68.65000000000003        -0.002517955968160944    -0.1604675126558579      -0.9766272734257578      -27.45096278312427       27.468798815643375
-7.62                     -7.62                    72.90000000000003        0.12486092327605439      -1.7801898213160143      -1.8855925494816574      -29.991735317706116      30.103633043702853
-7.62                     -7.62                    68.90000000000003        0.0044184262177509115    -0.26800434026509934     -1.0092431266264088      -27.985153260487763      28.004628207280888
-7.62                     -7.62                    73.85558486757833        0.1528661291224062       -2.108385237536581       -2.136849199468813       -28.544776748487195      28.702189680094232
-7.62                     -7.62                    74.15771107148575        0.16139023330992922      -2.227013509672375       -2.2292280902659485      -27.906558239310343      28.08389288924728
-7.62                     -7.62                    74.36790219888181        0.1672097373373326       -2.296562171844748       -2.276714831841474       -27.460844091310157      27.65059830169899
-7.62                     -7.62                    74.03297855721213        0.15789372771953147      -2.183533881833675       -2.1879345177147584      -28.157501893841555      28.3266621854502
-7.62                     -7.62                    73.99679420859309        0.15687354978716989      -2.170080550067013       -2.1765658800230696      -28.231535372405574      28.39834991874082
-7.62                     -7.62                    74.50356659473233        0.17091363493484407      -2.350599171070698       -2.3125606132343535      -27.150896974321626      27.35040145159022
-7.62                     -7.62                    74.52203565630339        0.17141470681613935      -2.317601873918534       -2.3145303705151274      -27.156549022191797      27.35336330466025
