Cs Rydberg State (n), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz)
50, -6.707494022207716e-05, -0.0004086122047761601
50, -0.0001740322770267626, -0.0006421244410211169
50, -0.003073327366131894, 0.0009279645044895621
50, 0.005814823195839122, 0.0017348302932414198
50, 0.0007369944176308696, 0.0002338979240248357
50, 0.0018462237646631001, -0.0005927062776475107
50, 0.00019414448630229045, -0.0002600368781314739
50, -0.0006783501531550073, -0.00016968647160512426
50, -0.0002731801705587524, -0.00012855068611479034
50, -0.0001764675549067716, -0.0001055776104719121
50, -0.0001323684111056414, -9.196617122101528e-05
51, -9.002465687244395e-05, -0.0005750361930225123
51, -0.0002366584977795299, -0.0008999501023769126
51, 0.013981637920565114, 0.0011864308828560192
51, 0.005681196952105703, 0.0021776607728937925
51, 0.00094160128545649, 0.00021141962530855406
51, 0.0022745291585025704, -0.0008005462727567709
51, 8.75070958309832e-05, -0.00034107692666562525
51, -0.0009460797258196023, -0.00022068965779299506
51, -0.00035962407068299587, -0.0001663164329721555
51, -0.00023014157202727917, -0.00013608748250792626
51, -0.00017178535201306234, -0.00011925538336499071
52, -0.00012011703350442778, -0.0008110083116284535
52, -0.0003205150850355132, -0.0012511156280539748
52, 0.0037942859231637205, 0.0015088831466088745
52, 0.0059155723029420595, 0.0027216703955326824
52, 0.0011966365326992457, 0.00016982091061661745
52, 0.0027962905567899387, -0.0010775010174877378
52, -7.161224115811684e-05, -0.00044532984592055166
52, -0.0013331497787296863, -0.0002856325426921693
52, -0.00047126175846471643, -0.00021416880912737034
52, -0.00029870458570919, -0.000175014300434781
52, -0.000221778263319762, -0.00015240269124151674
53, -0.00015937061379105242, -0.0011483448529915397
53, -0.00043257677557769847, -0.001726409777682094
53, 0.0023506335430936603, 0.0019092909289481397
53, 0.0063976179168863416, 0.0033872182464591695
53, 0.001513103365095014, 0.00010145323205430328
53, 0.0034296497329055053, -0.0014466790587825157
53, -0.00030711554285213337, -0.0005777093811983476
53, -0.0019151104505489211, -0.0003679765219454602
53, -0.000614811348223809, -0.0002745232900486051
53, -0.00038585341271329417, -0.0002240150993166396
53, -0.0002849514080228951, -0.0001938903875991392
54, -0.00021032281385811118, -0.0016366233559466255
54, -0.0005821690957756299, -0.0023662092715555968
54, 0.001800661378521472, 0.0024041841210784474
54, 0.007077161295986774, 0.00419831434667878
54, 0.001903947335927318, -3.8453508593779285e-06
54, 0.004196642836808694, -0.0019385863018506983
54, -0.0006516225301473616, -0.0007499604653772192
54, -0.00285837495135426, -0.0004719837081765042
54, -0.000798728981962213, -0.00035033474104809224
54, -0.0004961964443000955, -0.0002861314763315195
54, -0.0003651982960002082, -0.0002455890287251064
55, -0.00027615161445485633, -0.0023558938843165783
55, -0.0007820007030780552, -0.0032221355432880015
55, 0.0014474370030187213, 0.003013245299117375
55, 0.007941828498962857, 0.0051831725733298235
55, 0.0023845107832951265, -0.00016061943911887858
55, 0.005123438412700281, -0.002594069417192411
55, -0.0011504639521947417, -0.0009681396917248432
55, -0.004644628758010413, -0.0006028104899140733
55, -0.001033541857452508, -0.0004460303728274614
55, -0.0006353643583459666, -0.00037159310713570957
55, -0.00046509704927244445, -0.00030978245332364423
56, -0.0003608146481199151, -0.0034409205742136737
56, -0.0010492290587813982, -0.004359671225751977
56, 0.0011505165584887148, 0.003759602455776899
56, 0.008992203582813513, 0.006374748966058169
56, 0.0029728948016552632, -0.00040819874338520075
56, 0.006241164601265797, -0.0034673599900262196
56, -0.0018671604564032952, -0.001246536471107662
56, -0.009489102094056595, -0.0007668656395876466
56, -0.001332472007535922, -0.0005644156891169938
56, -0.0008104158234576475, -0.000456684595063953
56, -0.0005919611681540277, -0.00038919585948388354
57, -0.00046930115816505553, -0.005131236787450088
57, -0.0014080920274736847, -0.005859934076092547
