Cs Rydberg State (n), Distance (um), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz), Rb-Rb Energy Shift (GHz), Na-Na Energy Shift (GHz), Cs-Cs Energy Shift (GHz)
50, 5, 0.033470979253215086, 0.01383106083294412, 0.0006013606025630035, 0.001402923473324193, 0.0006954877328347469
50, 6, 0.014028659980298907, 0.004644088841933603, 0.00020141477024235147, 0.00047000411834651997, 0.00023296338996384543
50, 7, 0.00615079900644516, 0.001843169697680114, 7.988262781829092e-05, 0.00018641475926984376, 9.239693701933455e-05
50, 8, 0.002883866220244244, 0.0008274489440345346, 3.585672931271499e-05, 8.367074592899228e-05, 4.1473595162655305e-05
50, 9, 0.0014507230150941418, 0.00040820930736426385, 1.7692177289203618e-05, 4.127799527394239e-05, 2.0462912006840062e-05
50, 10, 0.0007781869754021878, 0.00021695556851042657, 9.40704719530843e-06, 2.1941660718485476e-05, 1.0879554013668378e-05
50, 11, 0.0004413335075204339, 0.0001224733858957681, 5.3143918459481274e-06, 1.238989422953938e-05, 6.145590468958239e-06
50, 12, 0.00026249761498563007, 7.266759308559012e-05, 3.1570554309421663e-06, 7.354908222462411e-06, 3.650201247751483e-06
50, 13, 0.00016261802129527894, 4.495814450412911e-05, 1.9568470946778995e-06, 4.553747440454565e-06, 2.26192009627462e-06
50, 14, 0.00010433482123516259, 2.8824139023815945e-05, 1.2580264644223494e-06, 2.922771012906701e-06, 1.4535937876525505e-06
51, 5, 0.04341876900811178, 0.017347196501980414, 0.0006013606025630037, 0.0017917557817401562, 0.0008883146985382302
51, 6, 0.02431874807035043, 0.005828389685688006, 0.0002014147702423514, 0.0006003446454705611, 0.00029756959929696494
51, 7, 0.014481378059456023, 0.00231363801832144, 7.988262781829082e-05, 0.00023811848308168219, 0.00011802126492402053
51, 8, 0.008973721305549907, 0.001038724544231044, 3.5856729312714994e-05, 0.00010687751852929863, 5.2974239223544766e-05
51, 9, 0.005702966075576071, 0.0005124520327972924, 1.769217728920364e-05, 5.272568943477796e-05, 2.6135951950995943e-05
51, 10, 0.0036828223211866047, 0.00027236091438394115, 9.407047195308425e-06, 2.802555236436537e-05, 1.3894467942578764e-05
51, 11, 0.0024049331211354217, 0.00015375006799505904, 5.314391845948126e-06, 1.582412525317245e-05, 7.847438565054096e-06
51, 12, 0.0015858902742991417, 9.1224370080479e-05, 3.157055430942168e-06, 9.392420939644431e-06, 4.65989687303993e-06
51, 13, 0.001057045611629774, 5.643802257927509e-05, 1.9568470946779004e-06, 5.814206972284391e-06, 2.8865437399517433e-06
51, 14, 0.000713480550145023, 3.6183387441156336e-05, 1.2580264644223488e-06, 3.730789904565355e-06, 1.8540090826871664e-06
52, 5, 0.0356754267748564, 0.021663710437320172, 0.0009879804382745495, 0.002276337127931446, 0.0011286200245084557
52, 6, 0.014564920664932245, 0.007283074543182342, 0.000330921493927946, 0.0007628366195785223, 0.00037809627010225124
52, 7, 0.006263536315381472, 0.0028915973380916277, 0.00013124447732090462, 0.000302582801140588, 0.00014996158121470416
52, 8, 0.0029068240659405526, 0.001298283712500449, 5.8908246013233716e-05, 0.00013581286446707862, 6.730986283734259e-05
